Protein Names,Gene Names,Majority Protein IDs,LFQ Intensity [log10],Sequence Coverage [%],Number of Peptides,FDA-approved Biomarker,Act in Plasma ,Tissue Leakage ,Receptor Ligands,Concentration according to Plasma Proteome Database [log10(pg/ml)],Q-value
Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,O14498;H0YN67;H0YL90,7.69,8.2,3,,,,,NaN,0.000
Immunoglobulin superfamily DCC subclass member 4,IGDCC4,Q8TDY8,5.94,0.8,1,,,,,NaN,0.000
Importin subunit beta-1,KPNB1,Q14974;F5H4R7;B7ZAV6,NaN,3.3,2,,,,,NaN,0.000
Importin-5,IPO5,O00410;C9JZD8;E7EQT5;H7C609;E7ETV3;B4E0R6,6.78,2.3,1,,,,,NaN,0.000
Indian hedgehog protein;Indian hedgehog protein N-product;Indian hedgehog protein C-product,IHH,Q14623,7.19,4.4,1,,,,,NaN,0.000
Inhibin beta C chain,INHBC,P55103;F8VVQ8,7.77,4.8,2,,,,,4.11,0.000
Inorganic pyrophosphatase,PPA1,Q15181;Q5SQT6,7.77,12.1,3,,,,,NaN,0.000
Inosine-5-monophosphate dehydrogenase 2;Inosine-5-monophosphate dehydrogenase 1;Inosine-5-monophosphate dehydrogenase,IMPDH2;IMPDH1,P12268;H0Y4R1;P20839;E7ETK5;C9K0R9;F5H247;C9J381;E7EQS0;P20839-2;P20839-4;P20839-3;C9JV30,8.92,3.9,2,,,,,NaN,0.001
Insulin-like growth factor-binding protein 2,IGFBP2,P18065;C9JMY1;C9JW52,7.82,9.2,3,,,,,5.67,0.000
Insulin-like growth factor-binding protein 3,IGFBP3,P17936;H0Y5K2;B3KTS0;B3KWK7;F5H4S6;B3KRZ1;C9JMX4;H0Y485,8.54,23.7,6,+,,,+,6.53,0.000
Insulin-like growth factor-binding protein 4,IGFBP4,P22692;B4E351,7.44,3.1,1,,,,,6.51,0.002
Insulin-like growth factor-binding protein 5,IGFBP5,P24593;C9JXX4,7.59,11.0,3,,,,,6.23,0.000
Insulin-like growth factor-binding protein 6,IGFBP6,P24592;F8VYK9,7.77,10.4,2,,,,,6.04,0.000
Insulin-like growth factor-binding protein 7,IGFBP7,Q16270;B4E1N2,NaN,4.6,1,,,,,5.68,0.000
Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,P35858;E9PGU3,10.23,32.7,16,,,,,6.18,0.000
Integrin alpha-1,ITGA1,P56199,8.63,1.4,2,,,,,NaN,0.000
Integrin alpha-11,ITGA11,Q9UKX5;F5H1A1,6.22,0.8,1,,,,,NaN,0.000
Integrin alpha-2,ITGA2,P17301;E7ESP4;E7EMF1,7.39,0.8,1,,,,,NaN,0.000
Integrin beta-1,ITGB1,P05556;P05556-2;P05556-5;P05556-4;P05556-3,7.85,4.8,3,,,,,4.04,0.000
Intelectin-1;Intelectin-2,ITLN1;ITLN2,Q8WWA0;Q8WWU7,7.58,7.0,2,,,,,4.54,0.000
Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,P19827;B7Z549;F5H7E1;F5H165;F5H7Y8,10.76,42.4,33,,,,,7.38,0.000
Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,P19823;Q5T985,11.00,47.7,40,,,,,7.32,0.000
Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,Q06033;C9JX84;Q06033-2;A8MXF4;F5H6B4;E7ET33,9.86,33.8,23,,,,,6.30,0.000
Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Q14624-2;E9PGN5;F5H194;H7C0L5,8.27,54.6,45,,,,,7.62,0.000
Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Q14624,11.12,54.5,46,,,,,7.62,0.000
Intercellular adhesion molecule 1,ICAM1,P05362,8.54,7.1,3,,,,,7.66,0.000
Intercellular adhesion molecule 3,ICAM3,P32942,6.99,1.8,1,,,,,3.56,0.000
Interleukin enhancer-binding factor 3,ILF3,Q12906;Q12906-4;Q12906-5;Q12906-2;C9JFV5;Q12906-6;Q12906-3;G5E9M5;B4DFG4,6.66,3.2,2,,,,,NaN,0.002
Interleukin-1 receptor accessory protein,IL1RAP,Q9NPH3;Q9NPH3-2;Q9NPH3-5;Q9NPH3-3;C9J9W1,8.57,11.4,5,,,,,3.67,0.000
Interleukin-6 receptor subunit beta,IL6ST,P40189;P40189-3;F5H374;D6RH03;P40189-2,7.64,2.5,2,,,,,3.11,0.000
Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,O75874,7.16,5.3,2,,,,,3.82,0.001
"Isoleucine--tRNA ligase, cytoplasmic",IARS,P41252;Q5TCC5;Q5TCC4,6.78,1.5,2,,,,,NaN,0.000
Junction plakoglobin,JUP,P14923,7.26,4.3,3,,,,,5.32,0.000
Kallistatin,SERPINA4,P29622,10.20,53.9,21,,,,,7.06,0.000
"KH domain-containing, RNA-binding, signal transduction-associated protein 1;KH domain-containing, RNA-binding, signal transduction-associated protein 2",KHDRBS1;KHDRBS2,Q07666;E7ET98;Q07666-2;Q5VWX1;F5H5F6,6.61,4.1,2,,,,,NaN,0.002
Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,KNG1,B4DPP8;P01042-2;C9JEX1,10.11,47.0,21,,,,,8.62,0.000
Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,KNG1,P01042,10.77,35.6,23,,,,,8.62,0.000
Kynureninase,KYNU,Q16719;B8ZZA3;Q16719-2,6.78,5.2,2,,,,,NaN,0.000
Lactotransferrin;Lactoferricin-H;Kaliocin-1;Lactoferroxin-A;Lactoferroxin-B;Lactoferroxin-C,LTF,P02788;E7EQB2;E7ER44;B7Z4X2,7.44,3.1,2,,,,,8.56,0.000
"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",TMPO,P42167;P42166;P42167-2;G5E972,7.50,3.5,1,,,,,3.26,0.000
Lamin-B1,LMNB1,P20700;E9PBF6,6.24,2.4,1,,,,,3.08,0.000
Laminin subunit beta-1,LAMB1,P07942;G3XAI2,7.62,1.6,3,,,,,3.41,0.000
Laminin subunit beta-2,LAMB2,P55268;F5H520,6.89,0.8,1,,,,,3.40,0.000
Laminin subunit gamma-1,LAMC1,P11047,6.57,0.5,1,,,,,4.70,0.000
Large neutral amino acids transporter small subunit 1,SLC7A5,Q01650,6.77,5.5,2,,,,,NaN,0.001
Leptin receptor,LEPR,P48357;P48357-5;P48357-2;P48357-4;P48357-3,6.84,1.3,1,,,,,NaN,0.000
Leucine-rich alpha-2-glycoprotein,LRG1,P02750;B4E1I8,10.09,27.7,9,,,,,6.43,0.000
Leucine-rich repeat-containing protein 59,LRRC59,Q96AG4,7.53,4.2,1,,,,,NaN,0.000
Leukocyte cell-derived chemotaxin-2,LECT2,D6RD58;O14960,7.08,11.4,1,,,,,NaN,0.002
Leukocyte elastase inhibitor,SERPINB1,P30740;B4E3A8;B4DNT0,6.84,5.0,1,,,,,4.15,0.000
Leukocyte immunoglobulin-like receptor subfamily A member 3,LILRA3,Q8N6C8,7.47,1.6,1,,,,,4.40,0.000
Leukocyte immunoglobulin-like receptor subfamily A member 6,LILRA6,Q6PI73;C9JFH3;B5ME96;F8WCY4;D3YTC4,6.29,3.7,1,,,,,NaN,0.002
Leukotriene A-4 hydrolase,LTA4H,P09960;F8VV40;P09960-2;P09960-3,7.89,8.8,5,,,,,4.40,0.000
LIM and SH3 domain protein 1,LASP1,Q14847;C9J9W2;Q14847-2;B4DIC4;B4DGQ0,6.79,8.8,2,,,,,3.99,0.000
Limbic system-associated membrane protein,LSAMP,Q13449;C9J5G3;H3BLU2;F5H5G1,6.94,2.4,1,,,,,4.20,0.000
Lipopolysaccharide-binding protein,LBP,P18428;Q8TCF0,9.35,15.4,6,,,,,5.51,0.000
Liver carboxylesterase 1,CES1,P23141;I3L0R9;B7Z795;E9PAU8;P23141-2;H3BSU0;H3BQV8;I3L1E2,6.95,1.6,1,,,,,4.66,0.000
L-lactate dehydrogenase A chain,LDHA,P00338;P00338-3;P00338-4;F5H308;E9PH51;P00338-2;P00338-5,8.63,36.4,11,+,,+,,4.93,0.000
L-lactate dehydrogenase B chain;L-lactate dehydrogenase,LDHB,P07195;A8MW50,8.83,38.0,11,+,,+,,4.93,0.000
"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADL,P28330,7.59,2.6,1,,,,,NaN,0.000
Long-chain-fatty-acid--CoA ligase 1,ACSL1,P33121;B7Z3Z9;E7EPM6;P33121-2;B7Z452;D6RER0,8.45,1.3,1,,,,,NaN,0.000
Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,P08637;H0Y755;E9PG94,7.64,7.9,2,,,,,4.80,0.000
Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,O75015;H0Y4U3,7.61,8.6,2,,,,,4.80,0.005
L-selectin,SELL,P14151;P14151-2,9.07,9.1,4,,,,,5.93,0.000
Lumican,LUM,P51884,10.06,32.2,11,,,,,6.60,0.000
Lymphatic vessel endothelial hyaluronic acid receptor 1,LYVE1,Q9Y5Y7,8.31,8.1,3,,,,,3.79,0.000
Lysine-specific demethylase 4C,KDM4C,Q9H3R0;F5GYH2;C9J879;E7EV17;F5H347;F5H7P0;Q9H3R0-2,8.20,0.9,1,,,,,NaN,0.000
Lysosome-associated membrane glycoprotein 1,LAMP1,P11279;B4DWL3,7.76,4.6,2,,,,,3.20,0.000
Lysosome-associated membrane glycoprotein 2,LAMP2,P13473;P13473-2;B4E2S7;P13473-3;B7Z2R9;H0YCG2,8.53,8.8,4,,,,,3.86,0.000
Lysozyme C,LYZ,P61626;F8VV32,9.00,10.8,2,+,,,,4.71,0.000
Macrophage colony-stimulating factor 1 receptor,CSF1R,P07333;E9PEK4;B5A955,8.19,3.0,3,,,,,4.34,0.000
Macrophage mannose receptor 1,MRC1,P22897,7.19,3.2,4,,,,,3.75,0.000
Macrophage migration inhibitory factor,MIF,P14174,7.19,9.6,1,,,,,4.00,0.000
Macrophage receptor MARCO,MARCO,Q9UEW3;C9JKT8;B8ZZ64;B4DW79,7.93,1.7,1,,,,,NaN,0.002
"Malate dehydrogenase, cytoplasmic",MDH1,P40925;B8ZZ51;B9A041;P40925-2;F5H098,7.33,3.6,1,,,,,4.59,0.003
"Malate dehydrogenase, mitochondrial;Malate dehydrogenase",MDH2,P40926;G3XAL0;E9PDB2,7.48,14.2,4,,,,,4.18,0.000
Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,F8W876;P48740-3,7.02,12.4,3,,,,,5.19,0.000
Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,P48740,8.29,10.3,6,,,,,5.19,0.000
Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain,MASP1,P48740-4;P48740-2;F5H2J0,8.71,15.9,7,,,,,5.19,0.000
Mannan-binding lectin serine protease 2;Mannan-binding lectin serine protease 2 A chain;Mannan-binding lectin serine protease 2 B chain,MASP2,O00187;O00187-2,8.73,11.4,7,,,,,6.45,0.000
Mannose-binding protein C,MBL2,P11226,8.91,31.9,7,,,,,4.91,0.000
"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MAN1A1,P33908;Q6P052,8.33,7.2,6,,,,,3.75,0.000
Mast/stem cell growth factor receptor Kit,KIT,P10721;P10721-2;P10721-3,7.45,3.1,3,,,,,3.91,0.000
Melanoma-associated antigen D2,MAGED2,Q9UNF1;Q5H907;Q5H909;H7BXW3;Q9UNF1-2,6.72,2.6,1,,,,,NaN,0.000
Membrane primary amine oxidase,AOC3,Q16853,8.42,10.0,6,,,,,4.80,0.000
Membrane-associated progesterone receptor component 1,PGRMC1,O00264;B7Z1L3,6.45,7.2,1,,,,,NaN,0.000
Membrane-associated progesterone receptor component 2,PGRMC2,O15173,6.35,6.3,1,,,,,NaN,0.009
Metalloproteinase inhibitor 1,TIMP1,P01033;Q5H9A7;Q5H9B4;Q5H9B5,8.00,5.8,1,,,,,5.10,0.000
Metalloproteinase inhibitor 2,TIMP2,P16035,NaN,6.8,1,,,,,4.97,0.000
Meteorin-like protein,METRNL,Q641Q3;B3KSJ5,6.51,4.5,1,,,,,NaN,0.001
"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,Q02252,7.18,1.5,1,,,,,NaN,0.000
Microtubule-associated protein RP/EB family member 1,MAPRE1,Q15691,7.87,6.7,1,,,,,3.52,0.000
Mimecan,OGN,P20774;Q5TBF5,8.12,5.4,2,,,,,4.20,0.000
Moesin,MSN,P26038,8.15,11.6,7,,,,,4.67,0.000
"Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form",CD14,P08571;D6RFL4,8.88,20.3,6,,,,,5.62,0.000
Mucosal addressin cell adhesion molecule 1,MADCAM1,Q13477;F5H5V1;F5H2C3;F5H511;Q13477-2;Q13477-3;Q5UGI7,7.30,3.9,1,,,,,NaN,0.000
Multimerin-1;Platelet glycoprotein Ia*;155 kDa platelet multimerin,MMRN1,Q13201;Q13201-2,7.22,1.6,2,,,,,3.86,0.000
Multimerin-2,MMRN2,E7EN39;Q9H8L6,8.59,1.2,1,,,,,5.36,0.000
Multiple epidermal growth factor-like domains protein 8,MEGF8,Q7Z7M0;Q7Z7M0-2,7.88,1.3,3,,,,,0.63,0.000
Multiple inositol polyphosphate phosphatase 1,MINPP1,Q9UNW1;B4E394;F5H683,8.21,8.4,4,,,,,4.20,0.000
Myb-binding protein 1A,MYBBP1A,Q9BQG0;I3L2H8;E7EN09;I3L1L3;Q9BQG0-2,NaN,0.8,1,,,,,NaN,0.000
"Myocilin;Myocilin, N-terminal fragment;Myocilin, C-terminal fragment",MYOC,Q99972;F5GY01;Q8N854,7.77,3.6,2,,,,,NaN,0.000
Myoglobin,MB,P02144;B0QYF8;F2Z337;Q8WVH6;F2Z2F1;B4DUI1,7.28,9.7,1,+,,+,,5.08,0.000
Myosin light polypeptide 6,MYL6;PDE6H,P60660;P60660-2;F8W1R7;G8JLA2;G3V1V0;B7Z6Z4;G3V1Y7;F8VPF3;F8VZV5,NaN,8.6,1,,,,,4.15,0.000
Myosin regulatory light polypeptide 9;Myosin regulatory light chain 12B;Myosin regulatory light chain 12A,MYL9;MYL12B;MYL12A,P24844;O14950;P19105;P24844-2,6.99,11.6,2,,,,,3.30,0.005
Myosin-9,MYH9,P35579;P35579-2,7.38,3.3,6,,,,,4.76,0.000
Myotrophin,MTPN,P58546,7.10,22.0,2,,,,,4.26,0.000
N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,Q9UJJ9;H0YEA7,7.87,3.3,1,,,,,3.83,0.000
"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase",B3GNT1,O43505,7.37,6.0,2,,,,,3.52,0.000
N-acetylmuramoyl-L-alanine amidase,PGLYRP2,Q96PD5;Q96PD5-2,9.67,35.2,13,,,,,7.15,0.000
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,O95168;O95168-2,6.84,10.1,1,,,,,NaN,0.009
NADP-dependent malic enzyme,ME1,P48163;F5H4W0;B4DZ70,7.06,1.4,1,,,,,3.82,0.002
"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NAA15,Q9BXJ9;F5H5A7;Q9BXJ9-4,6.47,1.3,1,,,,,NaN,0.010
"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,E9PAV3;F8W1N5;F8VZJ2;F8VNW4;F8W0W4;H0YHX9;Q13765;F8VU71,7.16,2.0,3,,,,,3.46,0.000
Neogenin,NEO1,Q92859;Q92859-3;Q92859-2;B7ZKN0;E7EUX3;Q59FP8,8.43,6.8,7,,,,,3.62,0.000
Neural cell adhesion molecule 1,NCAM1,P13591;H7BYX6;P13591-5;P13591-6,7.80,11.5,9,,,,,4.52,0.009
Neural cell adhesion molecule 1,NCAM1,P13591-3;P13591-1;P13591-4;E9PLH7,8.63,11.6,8,,,,,4.52,0.000
Neural cell adhesion molecule 2,NCAM2,O15394;H9KV31;B7Z841,NaN,2.2,2,,,,,NaN,0.000
Neural cell adhesion molecule L1,L1CAM,P32004;P32004-2;F5H1H0;F5H025;G3XAF4,8.02,0.8,1,,,,,NaN,0.000
Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,CHL1,O00533-2;O00533,8.80,10.8,12,,,,,4.15,0.000
Neuroblast differentiation-associated protein AHNAK,AHNAK,Q09666;Q8N274,7.66,4.4,4,,,,,2.90,0.000
Neuronal growth regulator 1,NEGR1,Q7Z3B1;Q8N440,7.48,7.9,2,,,,,3.60,0.000
Neuropilin-1,NRP1,O14786;E9PEP6;E7EX60;Q5T7F0;Q5T7F1;O14786-2;Q5JWQ6,7.45,2.4,2,,,,,4.11,0.000
Neuropilin-2,NRP2,O60462;O60462-5;F5H2X3;F5H1G4;O60462-4;O60462-2;O60462-3;E9PF66,7.58,4.6,4,,,,,NaN,0.000
Neutral alpha-glucosidase AB,GANAB,Q14697;Q14697-2;F5H6X6;E9PKU7,7.28,8.1,8,,,,,3.81,0.000
Nidogen-1,NID1,P14543;P14543-2,NaN,1.3,1,,,,,4.62,0.000
Nidogen-2,NID2,Q14112;Q14112-2;E7EPP3;H0Y3N6,6.04,1.7,2,,,,,4.62,0.000
Noelin,OLFM1,Q99784;Q6IMJ5;Q99784-3;F5H810,8.21,10.7,5,,,,,4.75,0.000
Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3,HMGN2;HMGN3,P05204;Q15651;Q15651-2,7.53,10.0,1,,,,,4.34,0.003
Non-POU domain-containing octamer-binding protein,NONO,Q15233;H7C367;C9JYS8;F5GYZ3,6.73,4.5,2,,,,,NaN,0.000
Non-specific lipid-transfer protein,SCP2,P22307;B4DHP6;A6NM69;C9JC79;E1B6W5;P22307-2,6.32,2.0,1,,,,,4.15,0.000
Nuclear migration protein nudC,NUDC,Q9Y266,6.60,8.2,3,,,,,NaN,0.000
Nuclease-sensitive element-binding protein 1,YBX1,P67809;H0Y449;E7ETA0,7.71,18.5,4,,,,,3.36,0.000
Nucleobindin-1,NUCB1,Q02818;C9JKZ2;H7BZI1,7.16,5.2,2,,,,,4.26,0.000
Nucleolar RNA helicase 2,DDX21,Q9NR30;Q9NR30-2,7.09,4.7,3,,,,,NaN,0.000
Nucleolin,NCL,P19338;E7EX81;H7BY16;Q9BQ02,8.37,10.4,7,,,,,NaN,0.000
Nucleophosmin,NPM1,P06748;P06748-2;P06748-3,8.71,19.4,5,,,,,3.59,0.000
Nucleoside diphosphate kinase 3,NME3,Q13232,7.61,5.9,1,,,,,3.15,0.000
Nucleoside diphosphate kinase A,NME1,P15531;P15531-2,7.15,41.4,5,,,,,NaN,0.000
Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase;Putative nucleoside diphosphate kinase,NME2;NME1-NME2;NME1;NME2P1,P22392-2;Q32Q12;P22392;E7ERL0;O60361,8.11,39.3,7,,,,,4.04,0.000
Nucleosome assembly protein 1-like 1,NAP1L1,P55209;H0YH88;H0YHC3;F8W020;F8W118;F8VXI6;F8VUX1;F8VY35;B3KV44;F8VV59;F8W543;B7Z9C2;F8W0J6;F5H4R6;H0YIV4;B3KNT8,6.76,4.6,1,,,,,3.63,0.000
Omega-amidase NIT2,NIT2,Q9NQR4,NaN,5.4,1,,,,,3.85,0.009
Oncoprotein-induced transcript 3 protein,OIT3,Q8WWZ8,7.73,7.2,4,,,,,3.81,0.000
Oncostatin-M-specific receptor subunit beta,OSMR,Q99650;Q99650-2,6.67,0.9,1,,,,,3.29,0.003
Osteoclast-associated immunoglobulin-like receptor,OSCAR,Q8IYS5-4;Q8IYS5-5;Q8IYS5;Q8IYS5-7;Q8IYS5-6;Q8IYS5-2;Q8IYS5-3,6.57,3.7,1,,,,,3.40,0.000
Osteomodulin,OMD,Q99983,7.58,4.3,2,,,,,NaN,0.009
Osteopontin,SPP1;opn,P10451;P10451-5;C9JXD2;P10451-4;P10451-2;Q3LGB0;P10451-3;D6R9C5,7.33,9.2,2,,,,,5.10,0.000
Out at first protein homolog,OAF,Q86UD1;E9PJ29,8.12,3.3,1,,,,,NaN,0.000
Oxidoreductase HTATIP2,HTATIP2,Q9BUP3;E9PI87;Q9BUP3-3,7.12,5.4,1,,,,,NaN,0.007
Pancreatic alpha-amylase;Alpha-amylase 2B;Alpha-amylase 1;Alpha-amylase,AMY2A;AMY2B;AMY1A;AMY1B,P04746;P19961;P04745;B3KTI1;Q5T085,8.38,7.2,3,+,,+,,NaN,0.000
Pantetheinase,VNN1,O95497,8.12,8.6,4,,,,,4.75,0.000
Peptidase inhibitor 16,PI16,Q6UXB8;Q6UXB8-2,8.70,7.8,4,,,,,4.61,0.000
"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",PPIA,P62937;B4DM82;F8WE65;C9J5S7;Q567Q0,8.92,60.6,9,,,,,5.15,0.000
Peptidyl-prolyl cis-trans isomerase B,PPIB,P23284,7.52,7.4,2,,,,,4.32,0.000
"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",FKBP4,Q02790;F5H1U3,NaN,2.2,1,,,,,NaN,0.000
Perilipin-3,PLIN3,O60664;O60664-3,6.69,3.5,1,,,,,3.11,0.000
Periostin,POSTN,B1ALD9;Q15063-3;Q15063-4,8.35,11.3,7,,,,,4.20,0.000
Peroxidasin homolog,PXDN,Q92626;H7C300;C9J4I9;H7C1W1;Q92626-2,5.03,1.1,1,,,,,NaN,0.007
Peroxiredoxin-1,PRDX1,Q06830,8.71,45.2,9,,,,,4.78,0.000
Peroxiredoxin-2,PRDX2,P32119,8.60,19.2,4,,,,,5.71,0.000
Peroxiredoxin-4,PRDX4,Q13162;H7C3T4,6.88,10.3,3,,,,,NaN,0.000
"Peroxiredoxin-5, mitochondrial",PRDX5,P30044;P30044-2;A6NC19;A6NG06,7.68,11.7,2,,,,,3.98,0.000
Peroxiredoxin-6,PRDX6,P30041,8.10,29.9,7,,,,,4.40,0.000
Phosphatidylcholine-sterol acyltransferase,LCAT,P04180,9.07,24.5,8,,,,,5.34,0.000
Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,P30086;B4DRT4,7.39,19.3,3,,,,,5.28,0.000
"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",INPP5D,Q92835;C9JLW2;C9JF09;F5GXI6;Q92835-2,8.72,1.2,2,,,,,5.61,0.002
Phosphatidylinositol-glycan-specific phospholipase D,GPLD1,P80108,9.85,25.2,17,,,,,5.66,0.000
"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial;Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",PCK2;PCK1,Q16822;P35558;H0YFK2;B4DT64;H0YML5;B4DW73,7.20,1.2,1,,,,,3.08,0.007
Phosphoglycerate kinase 1;Phosphoglycerate kinase,PGK1,P00558;B7Z7A9;B4E1H9;B4DHM5;E7ERH5,8.20,17.0,5,,,,,5.00,0.000
Phosphoglycerate mutase 1,PGAM1,P18669,7.49,33.1,7,,,,,4.68,0.000
Phospholipid transfer protein,PLTP,P55058;B3KUE5;E7EV16;P55058-2,9.29,27.0,11,,,,,4.81,0.000
Phosphoserine aminotransferase,PSAT1,Q9Y617;Q9Y617-2,NaN,3.8,1,,,,,3.81,0.000
Pigment epithelium-derived factor,SERPINF1,P36955;I3L3M1,10.23,49.8,18,,,,,6.81,0.000
Plasma alpha-L-fucosidase,FUCA2,Q9BTY2,7.95,6.6,3,,,,,3.11,0.000
Plasma kallikrein;Plasma kallikrein heavy chain;Plasma kallikrein light chain,KLKB1,P03952;H0YAC1;E7EQA8;E9PBC5,10.28,29.5,19,,,,,6.41,0.000
Plasma protease C1 inhibitor,SERPING1,P05155;B4E1F0;B4E1H2;H9KV48;E9PGN7,10.73,36.2,20,+,+,,,8.14,0.000
Plasma serine protease inhibitor,SERPINA5,P05154;F5H6K7;E9PHH2;G3V5Q9;G3V2M1,9.44,36.0,13,,,,,8.57,0.000
Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,Q8NC51;Q8NC51-3;Q8NC51-4;Q8NC51-2,7.64,13.5,4,,,,,3.36,0.000
Plasminogen activator inhibitor 2,SERPINB2;SERPINB10,P05120;H7C004;H7BYS2,8.12,2.4,1,,,,,NaN,0.000
"Plasminogen;Plasmin heavy chain A;Activation peptide;Angiostatin;Plasmin heavy chain A, short form;Plasmin light chain B",PLG,P00747,10.57,25.4,18,+,+,,,7.74,0.000
Plastin-2,LCP1,P13796,9.19,30.1,15,,,,,5.18,0.000
Plastin-3,PLS3,P13797;F8W8D8;B7Z6M1;B4DGB4,7.31,9.0,5,,,,,5.18,0.000
Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63),PPBP,P02775,8.67,19.5,2,+,+,,,6.55,0.000
Platelet endothelial cell adhesion molecule,PECAM1,P16284;P16284-3;P16284-2;P16284-6;P16284-5;P16284-4,7.26,4.3,3,,,,,NaN,0.000
"Platelet factor 4 variant;Platelet factor 4 variant(4-74);Platelet factor 4 variant(5-74);Platelet factor 4 variant(6-74);Platelet factor 4;Platelet factor 4, short form",PF4V1;PF4,P10720;P02776,8.22,8.7,1,,,,,5.28,0.002
Platelet glycoprotein Ib alpha chain;Glycocalicin,GP1BA,P07359;E7ES66,8.33,10.4,6,,,,,4.26,0.000
Platelet glycoprotein V,GP5,P40197,6.32,2.0,1,,,,,7.24,0.000
Platelet-activating factor acetylhydrolase,PLA2G7,Q13093;F5GYY6,7.46,7.9,3,,,,,NaN,0.000
Plectin,PLEC,Q15149;Q15149-4;Q15149-2;Q15149-6;Q15149-9;Q15149-7;Q15149-8;Q15149-5;Q15149-3,7.15,1.2,3,,,,,3.88,0.000
Plexin domain-containing protein 1,PLXDC1,Q8IUK5;C9JWQ3;B3KSI0;Q8IUK5-3;Q8IUK5-2;Q8IUK5-4;C9JCL2;B4E173,7.14,4.4,2,,,,,NaN,0.000
Plexin domain-containing protein 2,PLXDC2,Q6UX71;F5H554;B7WP84;Q6UX71-2,7.95,7.6,4,,,,,3.20,0.000
Podocalyxin,PODXL,O00592;F5H3W1;F5H7A2;F5GWY5;O00592-2,7.54,1.6,1,,,,,NaN,0.000
Poliovirus receptor,PVR,P15151;P15151-3;P15151-2;P15151-4,8.34,10.8,5,,,,,4.36,0.000
Poly(rC)-binding protein 1,PCBP1,Q15365,7.99,18.8,5,,,,,3.54,0.000
