Majority Protein IDs,Abundance Rank,Sample,Protein Names,LFQ Intensity [log10],Overlap,Abundance Level,Leading razor protein
P15311,918.0,,Ezrin,6.39,Geyer Only,Ultra Deep,
E7EQR4,918.0,,Ezrin,6.39,Geyer Only,Ultra Deep,
Q16186,919.0,,Proteasomal ubiquitin receptor ADRM1,6.39,Geyer Only,Ultra Deep,
E9PEC0,919.0,,Proteasomal ubiquitin receptor ADRM1,6.39,Geyer Only,Ultra Deep,
P61916,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
H0YIZ1,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
G3V3E8,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
E7EMS2,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
G3V3D1,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
G3V2V8,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
B4DQV7,920.0,,Epididymal secretory protein E1,6.38,Geyer Only,Ultra Deep,
O00602,921.0,,Ficolin-1,6.38,Geyer Only,Ultra Deep,
Q96FQ6,922.0,,Protein S100-A16,6.37,Geyer Only,Ultra Deep,
P18754,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
P18754-2,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
H7C497,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
C9JRH2,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
C9JMJ4,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
C9J3R0,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
C9JQZ4,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
C9JW69,923.0,,Regulator of chromosome condensation,6.37,Geyer Only,Ultra Deep,
Q00266,924.0,,S-adenosylmethionine synthase isoform type-1,6.35,Geyer Only,Ultra Deep,
P28066,925.0,,Proteasome subunit alpha type-5,6.35,Geyer Only,Ultra Deep,
B4E2V4,925.0,,Proteasome subunit alpha type-5,6.35,Geyer Only,Ultra Deep,
P22695,926.0,,"Cytochrome b-c1 complex subunit 2, mitochondrial",6.35,Geyer Only,Ultra Deep,
H3BRG4,926.0,,"Cytochrome b-c1 complex subunit 2, mitochondrial",6.35,Geyer Only,Ultra Deep,
O15173,927.0,,Membrane-associated progesterone receptor component 2,6.35,Geyer Only,Ultra Deep,
Q02487-2,928.0,,Desmocollin-2,6.35,Geyer Only,Ultra Deep,
Q02487,928.0,,Desmocollin-2,6.35,Geyer Only,Ultra Deep,
F8W7U2,928.0,,Desmocollin-2,6.35,Geyer Only,Ultra Deep,
P18859,929.0,,"ATP synthase-coupling factor 6, mitochondrial",6.34,Geyer Only,Ultra Deep,
A8MUH2,929.0,,"ATP synthase-coupling factor 6, mitochondrial",6.34,Geyer Only,Ultra Deep,
P07954,930.0,,"Fumarate hydratase, mitochondrial",6.33,Geyer Only,Ultra Deep,
P07954-2,930.0,,"Fumarate hydratase, mitochondrial",6.33,Geyer Only,Ultra Deep,
O60841,931.0,,Eukaryotic translation initiation factor 5B,6.33,Geyer Only,Ultra Deep,
P40197,932.0,,Platelet glycoprotein V,6.32,Geyer Only,Ultra Deep,
P22307,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
B4DHP6,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
A6NM69,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
C9JC79,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
E1B6W5,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
P22307-2,933.0,,Non-specific lipid-transfer protein,6.32,Geyer Only,Ultra Deep,
Q9Y2V2,934.0,,Calcium-regulated heat stable protein 1,6.3,Geyer Only,Ultra Deep,
Q6PI73,935.0,,Leukocyte immunoglobulin-like receptor subfamily A member 6,6.29,Geyer Only,Ultra Deep,
C9JFH3,935.0,,Leukocyte immunoglobulin-like receptor subfamily A member 6,6.29,Geyer Only,Ultra Deep,
B5ME96,935.0,,Leukocyte immunoglobulin-like receptor subfamily A member 6,6.29,Geyer Only,Ultra Deep,
F8WCY4,935.0,,Leukocyte immunoglobulin-like receptor subfamily A member 6,6.29,Geyer Only,Ultra Deep,
D3YTC4,935.0,,Leukocyte immunoglobulin-like receptor subfamily A member 6,6.29,Geyer Only,Ultra Deep,
Q9HCL0,936.0,,Protocadherin-18,6.26,Geyer Only,Ultra Deep,
Q9HCL0-2,936.0,,Protocadherin-18,6.26,Geyer Only,Ultra Deep,
P20700,937.0,,Lamin-B1,6.24,Geyer Only,Ultra Deep,
E9PBF6,937.0,,Lamin-B1,6.24,Geyer Only,Ultra Deep,
Q9UKX5,938.0,,Integrin alpha-11,6.22,Geyer Only,Ultra Deep,
F5H1A1,938.0,,Integrin alpha-11,6.22,Geyer Only,Ultra Deep,
Q7Z2Z2,939.0,,Elongation factor Tu GTP-binding domain-containing protein 1,6.22,Geyer Only,Ultra Deep,
Q7Z2Z2-2,939.0,,Elongation factor Tu GTP-binding domain-containing protein 1,6.22,Geyer Only,Ultra Deep,
H7C0J0,940.0,,,6.2,Geyer Only,Ultra Deep,
Q96AP7,941.0,,Endothelial cell-selective adhesion molecule,6.19,Geyer Only,Ultra Deep,
F8WDW9,941.0,,Endothelial cell-selective adhesion molecule,6.19,Geyer Only,Ultra Deep,
C9JIE7,941.0,,Endothelial cell-selective adhesion molecule,6.19,Geyer Only,Ultra Deep,
Q07075,942.0,,Glutamyl aminopeptidase,6.16,Geyer Only,Ultra Deep,
P63244,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RAC2,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6REE5,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RGK8,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
H0Y9P0,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RF23,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6R909,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RAU2,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
E9PD14,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RBD0,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RFX4,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
H0YAF8,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RFZ9,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6RHH4,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6R9Z1,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
H0YAM7,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
H0Y8W2,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
D6R9L0,943.0,,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",6.16,Geyer Only,Ultra Deep,
P62277,944.0,,40S ribosomal protein S13,6.15,Geyer Only,Ultra Deep,
E9PS50,944.0,,40S ribosomal protein S13,6.15,Geyer Only,Ultra Deep,
P29508,945.0,,Serpin B3,6.15,Geyer Only,Ultra Deep,
P29508-2,945.0,,Serpin B3,6.15,Geyer Only,Ultra Deep,
P04066,946.0,,Tissue alpha-L-fucosidase,6.15,Geyer Only,Ultra Deep,
O95926,947.0,,Pre-mRNA-splicing factor SYF2,6.13,Geyer Only,Ultra Deep,
P32322,948.0,,"Pyrroline-5-carboxylate reductase 1, mitochondrial",6.13,Geyer Only,Ultra Deep,
A6NFM2,948.0,,"Pyrroline-5-carboxylate reductase 1, mitochondrial",6.13,Geyer Only,Ultra Deep,
B4DMU0,948.0,,"Pyrroline-5-carboxylate reductase 1, mitochondrial",6.13,Geyer Only,Ultra Deep,
Q8NDA2,949.0,,Hemicentin-2,6.1,Geyer Only,Ultra Deep,
Q8NDA2-2,949.0,,Hemicentin-2,6.1,Geyer Only,Ultra Deep,
Q8NDA2-3,949.0,,Hemicentin-2,6.1,Geyer Only,Ultra Deep,
Q8TC12,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
H0YJ10,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
H0YIZ8,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
G3V2G6,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
G3V234,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
H0YJ46,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
Q8TC12-2,950.0,,Retinol dehydrogenase 11,6.06,Geyer Only,Ultra Deep,
P62424,951.0,,60S ribosomal protein L7a,6.05,Geyer Only,Ultra Deep,
Q5T8U3,951.0,,60S ribosomal protein L7a,6.05,Geyer Only,Ultra Deep,
P28074,952.0,,Proteasome subunit beta type-5,6.05,Geyer Only,Ultra Deep,
E9PAV2,952.0,,Proteasome subunit beta type-5,6.05,Geyer Only,Ultra Deep,
Q14112,953.0,,Nidogen-2,6.04,Geyer Only,Ultra Deep,
Q14112-2,953.0,,Nidogen-2,6.04,Geyer Only,Ultra Deep,
E7EPP3,953.0,,Nidogen-2,6.04,Geyer Only,Ultra Deep,
H0Y3N6,953.0,,Nidogen-2,6.04,Geyer Only,Ultra Deep,
O43399,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
O43399-2,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
O43399-3,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
O43399-4,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
B4DPJ6,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
O43399-5,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
Q5JWU6,954.0,,Tumor protein D54,6.04,Geyer Only,Ultra Deep,
P09972,955.0,,Fructose-bisphosphate aldolase C,6.03,Geyer Only,Ultra Deep,
A8MVZ9,955.0,,Fructose-bisphosphate aldolase C,6.03,Geyer Only,Ultra Deep,
B7Z3K7,955.0,,Fructose-bisphosphate aldolase C,6.03,Geyer Only,Ultra Deep,
C9J8F3,955.0,,Fructose-bisphosphate aldolase C,6.03,Geyer Only,Ultra Deep,
B7Z1N6,955.0,,Fructose-bisphosphate aldolase C,6.03,Geyer Only,Ultra Deep,
O75342,956.0,,"Arachidonate 12-lipoxygenase, 12R-type",6.03,Geyer Only,Ultra Deep,
Q9NY97,957.0,,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",6.02,Geyer Only,Ultra Deep,
Q9NY97-2,957.0,,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",6.02,Geyer Only,Ultra Deep,
Q8TDY8,958.0,,Immunoglobulin superfamily DCC subclass member 4,5.94,Geyer Only,Ultra Deep,
P78527,959.0,,DNA-dependent protein kinase catalytic subunit,5.87,Geyer Only,Ultra Deep,
E7EUY0,959.0,,DNA-dependent protein kinase catalytic subunit,5.87,Geyer Only,Ultra Deep,
P78527-2,959.0,,DNA-dependent protein kinase catalytic subunit,5.87,Geyer Only,Ultra Deep,
Q04637,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
Q04637-3,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
C9J6B6,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
C9JF13,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
E7EX73,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
E9PGM1,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
E7EUU4,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
Q04637-5,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
Q04637-4,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
E9PFM1,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
F8WCF2,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
C9JHW9,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
C9J2Z7,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
C9K073,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
Q04637-6,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
G5E9S1,960.0,,Eukaryotic translation initiation factor 4 gamma 1,5.86,Geyer Only,Ultra Deep,
P25788,961.0,,Proteasome subunit alpha type-3,5.83,Geyer Only,Ultra Deep,
P25788-2,961.0,,Proteasome subunit alpha type-3,5.83,Geyer Only,Ultra Deep,
G3V4X5,961.0,,Proteasome subunit alpha type-3,5.83,Geyer Only,Ultra Deep,
Q8IYD1,962.0,,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,5.77,Geyer Only,Ultra Deep,
P15170,962.0,,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,5.77,Geyer Only,Ultra Deep,
P15170-2,962.0,,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,5.77,Geyer Only,Ultra Deep,
H3BR35,962.0,,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,5.77,Geyer Only,Ultra Deep,
F5GWG9,962.0,,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B;Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,5.77,Geyer Only,Ultra Deep,
Q9HBR0,963.0,,Putative sodium-coupled neutral amino acid transporter 10,5.65,Geyer Only,Ultra Deep,
H0YF92,963.0,,Putative sodium-coupled neutral amino acid transporter 10,5.65,Geyer Only,Ultra Deep,
Q9HBR0-3,963.0,,Putative sodium-coupled neutral amino acid transporter 10,5.65,Geyer Only,Ultra Deep,
I3L0Q8,963.0,,Putative sodium-coupled neutral amino acid transporter 10,5.65,Geyer Only,Ultra Deep,
Q92626,964.0,,Peroxidasin homolog,5.03,Geyer Only,Ultra Deep,
H7C300,964.0,,Peroxidasin homolog,5.03,Geyer Only,Ultra Deep,
C9J4I9,964.0,,Peroxidasin homolog,5.03,Geyer Only,Ultra Deep,
H7C1W1,964.0,,Peroxidasin homolog,5.03,Geyer Only,Ultra Deep,
Q92626-2,964.0,,Peroxidasin homolog,5.03,Geyer Only,Ultra Deep,
O00231,965.0,,26S proteasome non-ATPase regulatory subunit 11,,Geyer Only,Ultra Deep,
P46783,966.0,,40S ribosomal protein S10;Putative 40S ribosomal protein S10-like,,Geyer Only,Ultra Deep,
F6U211,966.0,,40S ribosomal protein S10;Putative 40S ribosomal protein S10-like,,Geyer Only,Ultra Deep,
Q9NQ39,966.0,,40S ribosomal protein S10;Putative 40S ribosomal protein S10-like,,Geyer Only,Ultra Deep,
P60866,967.0,,40S ribosomal protein S20,,Geyer Only,Ultra Deep,
P60866-2,967.0,,40S ribosomal protein S20,,Geyer Only,Ultra Deep,
E5RIP1,967.0,,40S ribosomal protein S20,,Geyer Only,Ultra Deep,
E5RJX2,967.0,,40S ribosomal protein S20,,Geyer Only,Ultra Deep,
G3XAN0,967.0,,40S ribosomal protein S20,,Geyer Only,Ultra Deep,
P05388,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VS58,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VQY6,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VRK7,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
G3V210,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VZS0,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VU65,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VWS0,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
Q3B7A4,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
Q8NHW5,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VWV4,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VPE8,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
F8VW21,968.0,,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,,Geyer Only,Ultra Deep,
P63261,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
F5H0N0,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
I3L3I4,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
I3L3I0,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
I3L1U9,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
I3L4N8,969.0,,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",,Geyer Only,Ultra Deep,
P63267,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
P62736,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
Q5T8M7,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
F5H1C1,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
B4DUI8,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
C9JFL5,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
F6UVQ4,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
F6QUT6,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
E9PG30,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
F8WB63,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
B8ZZJ2,970.0,,"Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle",,Geyer Only,Ultra Deep,
P04217-2,971.0,,Alpha-1B-glycoprotein,,Geyer Only,Ultra Deep,
B3KWB5,971.0,,Alpha-1B-glycoprotein,,Geyer Only,Ultra Deep,
Q9H4A4,972.0,,Aminopeptidase B,,Geyer Only,Ultra Deep,
A6NKB8,972.0,,Aminopeptidase B,,Geyer Only,Ultra Deep,
C9JMZ3,972.0,,Aminopeptidase B,,Geyer Only,Ultra Deep,
Q5SRP5,973.0,,Apolipoprotein M,,Geyer Only,Ultra Deep,
Q5SRP4,973.0,,Apolipoprotein M,,Geyer Only,Ultra Deep,
P61769,974.0,,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,,Geyer Only,Ultra Deep,
F5H6I0,974.0,,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,,Geyer Only,Ultra Deep,
P00918,975.0,,Carbonic anhydrase 2,,Geyer Only,Ultra Deep,
E5RID5,975.0,,Carbonic anhydrase 2,,Geyer Only,Ultra Deep,
E5RK37,975.0,,Carbonic anhydrase 2,,Geyer Only,Ultra Deep,
P39059,976.0,,Collagen alpha-1(XV) chain;Restin;Restin-2;Restin-3;Restin-4,,Geyer Only,Ultra Deep,
Q9BXJ0,977.0,,Complement C1q tumor necrosis factor-related protein 5,,Geyer Only,Ultra Deep,
Q14204,978.0,,Cytoplasmic dynein 1 heavy chain 1,,Geyer Only,Ultra Deep,
O43175,979.0,,D-3-phosphoglycerate dehydrogenase,,Geyer Only,Ultra Deep,
F5H634,979.0,,D-3-phosphoglycerate dehydrogenase,,Geyer Only,Ultra Deep,
Q5SZU1,979.0,,D-3-phosphoglycerate dehydrogenase,,Geyer Only,Ultra Deep,
Q13011,980.0,,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",,Geyer Only,Ultra Deep,
Q14574-2,981.0,,Desmocollin-3,,Geyer Only,Ultra Deep,
Q14574,981.0,,Desmocollin-3,,Geyer Only,Ultra Deep,
P60981,982.0,,Destrin,,Geyer Only,Ultra Deep,
F6RFD5,982.0,,Destrin,,Geyer Only,Ultra Deep,
P60981-2,982.0,,Destrin,,Geyer Only,Ultra Deep,
P53634,983.0,,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,,Geyer Only,Ultra Deep,
F5HGG6,983.0,,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,,Geyer Only,Ultra Deep,
H0YCY8,983.0,,Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain,,Geyer Only,Ultra Deep,
Q96FJ2,984.0,,"Dynein light chain 2, cytoplasmic;Dynein light chain 1, cytoplasmic",,Geyer Only,Ultra Deep,
P63167,984.0,,"Dynein light chain 2, cytoplasmic;Dynein light chain 1, cytoplasmic",,Geyer Only,Ultra Deep,
P84090,985.0,,Enhancer of rudimentary homolog,,Geyer Only,Ultra Deep,
G3V279,985.0,,Enhancer of rudimentary homolog,,Geyer Only,Ultra Deep,
P58107,986.0,,Epiplakin,,Geyer Only,Ultra Deep,
E9PPU0,986.0,,Epiplakin,,Geyer Only,Ultra Deep,
P38919,987.0,,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",,Geyer Only,Ultra Deep,
I3L2Z3,987.0,,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",,Geyer Only,Ultra Deep,
I3L3H2,987.0,,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",,Geyer Only,Ultra Deep,
I3L3F6,987.0,,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",,Geyer Only,Ultra Deep,
P52907,988.0,,F-actin-capping protein subunit alpha-1,,Geyer Only,Ultra Deep,
P02671-2,989.0,,Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain,,Geyer Only,Ultra Deep,
P47929,990.0,,Galectin-7,,Geyer Only,Ultra Deep,
P00367,991.0,,"Glutamate dehydrogenase 1, mitochondrial",,Geyer Only,Ultra Deep,
F5GYQ4,991.0,,"Glutamate dehydrogenase 1, mitochondrial",,Geyer Only,Ultra Deep,
F8WA20,991.0,,"Glutamate dehydrogenase 1, mitochondrial",,Geyer Only,Ultra Deep,
B4DGN5,991.0,,"Glutamate dehydrogenase 1, mitochondrial",,Geyer Only,Ultra Deep,
B3KV55,991.0,,"Glutamate dehydrogenase 1, mitochondrial",,Geyer Only,Ultra Deep,
Q14749,992.0,,Glycine N-methyltransferase,,Geyer Only,Ultra Deep,
Q14103,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
Q14103-3,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
F5H6R6,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
H0YA96,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
H0Y8G5,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
H7BXN2,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
B4DTC3,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
Q14103-4,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
Q14103-2,993.0,,Heterogeneous nuclear ribonucleoprotein D0,,Geyer Only,Ultra Deep,
P07910,994.0,,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1,,Geyer Only,Ultra Deep,
P07910-2,994.0,,Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoprotein C-like 1,,Geyer Only,Ultra Deep,
